frame,track_id,world_pX,world_pZ,world_pY,cov_00,cov_01,cov_02,cov_10,cov_11,cov_12,cov_20,cov_21,cov_22
3,1,1.870952,4.960455,1.623078,0.002255,0.000009,-0.000000,0.000009,0.002350,-0.000001,-0.000000,-0.000001,0.008335
3,2,-0.058620,3.052145,1.473553,0.002307,-0.000002,0.000000,-0.000002,0.002416,-0.000000,0.000000,-0.000000,0.008410
3,3,0.396306,3.735487,1.667102,0.002314,-0.000007,-0.000000,-0.000007,0.002386,0.000000,-0.000000,0.000000,0.008408
4,1,1.898162,4.942448,1.610370,0.002104,0.000008,-0.000000,0.000008,0.002075,0.000001,-0.000000,0.000001,0.007265
4,2,-0.093230,3.012734,1.474674,0.002264,0.000054,0.000002,0.000054,0.002216,0.000001,0.000002,0.000001,0.007407
4,3,0.424886,3.764441,1.672496,0.002246,0.000011,0.000000,0.000011,0.002102,0.000000,0.000000,0.000000,0.007508
5,1,1.925422,4.915964,1.592911,0.001914,0.000081,-0.000002,0.000081,0.001848,0.000004,-0.000002,0.000004,0.006461
5,2,-0.097435,2.978085,1.462372,0.002160,-0.000040,-0.000000,-0.000040,0.002104,-0.000000,-0.000000,-0.000000,0.006668
5,3,0.423698,3.736451,1.646599,0.002212,0.000010,0.000000,0.000010,0.002108,0.000000,0.000000,0.000000,0.007033
6,1,1.945735,4.896867,1.585067,0.001776,0.000065,-0.000001,0.000065,0.001773,0.000000,-0.000001,0.000000,0.005770
6,2,-0.112546,2.975919,1.458928,0.002082,-0.000018,-0.000001,-0.000018,0.002065,-0.000001,-0.000001,-0.000001,0.006098
6,3,0.437742,3.730535,1.639823,0.002185,0.000026,-0.000000,0.000026,0.002239,-0.000000,-0.000000,-0.000000,0.006828
7,1,1.955838,4.870505,1.584046,0.001762,0.000016,-0.000004,0.000016,0.001772,0.000001,-0.000004,0.000001,0.005218
7,2,-0.136046,2.976130,1.456584,0.002033,0.000008,-0.000001,0.000008,0.002029,-0.000001,-0.000001,-0.000001,0.005599
7,3,0.493794,3.716782,1.643417,0.002205,0.000022,-0.000001,0.000022,0.002245,-0.000002,-0.000001,-0.000002,0.006712
8,1,1.957166,4.837377,1.572762,0.001749,0.000011,-0.000002,0.000011,0.001750,0.000000,-0.000002,0.000000,0.004774
8,2,-0.160902,2.966764,1.450067,0.002057,0.000066,-0.000003,0.000066,0.002007,-0.000002,-0.000003,-0.000002,0.005161
8,3,0.526718,3.641774,1.631532,0.002206,0.000003,0.000002,0.000003,0.002181,0.000002,0.000002,0.000002,0.006581
9,1,1.959463,4.819178,1.570307,0.001732,-0.000005,-0.000002,-0.000005,0.001724,0.000001,-0.000002,0.000001,0.004408
9,2,-0.175447,2.952455,1.446834,0.002149,-0.000024,-0.000004,-0.000024,0.001971,-0.000001,-0.000004,-0.000001,0.004834
9,3,0.547777,3.619407,1.633592,0.002143,-0.000055,-0.000001,-0.000055,0.002088,-0.000000,-0.000001,-0.000000,0.006312
10,1,2.022064,4.777058,1.571822,0.001718,0.000026,-0.000005,0.000026,0.001726,-0.000003,-0.000005,-0.000003,0.004125
10,2,-0.194065,2.912198,1.449912,0.002026,-0.000059,-0.000003,-0.000059,0.001956,-0.000000,-0.000003,-0.000000,0.004552
10,3,0.564899,3.582219,1.637109,0.002346,-0.000056,0.000004,-0.000056,0.002159,0.000004,0.000004,0.000004,0.006120
11,1,2.015076,4.764328,1.583029,0.001723,-0.000014,0.000001,-0.000014,0.001719,0.000002,0.000001,0.000002,0.003881
11,2,-0.211744,2.926414,1.455391,0.002037,-0.000023,-0.000003,-0.000023,0.001929,-0.000001,-0.000003,-0.000001,0.004313
11,3,0.620858,3.640418,1.644548,0.002041,-0.000077,0.000004,-0.000077,0.002154,-0.000007,0.000004,-0.000007,0.005882
12,1,2.055419,4.740636,1.587022,0.001698,0.000011,-0.000003,0.000011,0.001703,-0.000002,-0.000003,-0.000002,0.003687
12,2,-0.233068,2.862992,1.456090,0.002147,0.000127,-0.000001,0.000127,0.001927,-0.000000,-0.000001,-0.000000,0.004122
