frame,track_id,world_pX,world_pZ,world_pY,cov_00,cov_01,cov_02,cov_10,cov_11,cov_12,cov_20,cov_21,cov_22
3,1,-3.131610,3.885710,1.990103,0.002688,0.000000,0.000000,0.000000,0.037747,0.000000,0.000000,0.000000,0.002688
4,1,-3.140497,3.895628,1.995922,0.002693,0.000000,0.000000,0.000000,0.037940,0.000000,0.000000,0.000000,0.002693
5,1,-3.189721,3.938354,2.021741,0.002673,0.000000,0.000000,0.000000,0.038777,0.000000,0.000000,0.000000,0.002673
6,1,-3.236005,3.899443,2.010037,0.002576,0.000000,0.000000,0.000000,0.038014,0.000000,0.000000,0.000000,0.002576
7,1,-3.250996,3.884947,2.005421,0.002399,0.000000,0.000000,0.000000,0.037732,0.000000,0.000000,0.000000,0.002399
8,1,-3.274918,3.903258,2.015772,0.002337,0.000000,0.000000,0.000000,0.038089,0.000000,0.000000,0.000000,0.002337
9,1,-3.313050,3.906310,2.010876,0.002299,0.000000,0.000000,0.000000,0.038148,0.000000,0.000000,0.000000,0.002299
10,1,-3.359771,3.904021,2.010562,0.002224,0.000000,0.000000,0.000000,0.038103,0.000000,0.000000,0.000000,0.002224
11,1,-3.447596,3.955138,2.027104,0.002221,0.000000,0.000000,0.000000,0.039108,0.000000,0.000000,0.000000,0.002221
12,1,-3.455743,3.891050,1.984122,0.002098,0.000000,0.000000,0.000000,0.037851,0.000000,0.000000,0.000000,0.002098
13,1,-3.456335,3.866636,1.968012,0.002094,0.000000,0.000000,0.000000,0.037377,0.000000,0.000000,0.000000,0.002094
14,1,-3.513196,3.922332,1.995052,0.002167,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.002167
15,1,-3.551200,3.932250,1.998023,0.006531,0.000000,0.000000,0.000000,0.038656,0.000000,0.000000,0.000000,0.006531
18,1,-3.761604,3.971161,2.020221,0.003253,0.000000,0.000000,0.000000,0.039425,0.000000,0.000000,0.000000,0.003253
19,1,-3.817026,4.019989,2.044915,0.002429,0.000000,0.000000,0.000000,0.040401,0.000000,0.000000,0.000000,0.002429
20,1,-3.818072,3.988708,2.032890,0.002336,0.000000,0.000000,0.000000,0.039774,0.000000,0.000000,0.000000,0.002336
21,1,-3.878817,4.022278,2.051020,0.009129,0.000000,0.000000,0.000000,0.040447,0.000000,0.000000,0.000000,0.009129
