frame,track_id,world_pX,world_pZ,world_pY,cov_00,cov_01,cov_02,cov_10,cov_11,cov_12,cov_20,cov_21,cov_22
3,1,2.110665,4.021320,2.050449,0.002203,-0.000000,-0.000000,-0.000000,0.002400,0.000000,-0.000000,0.000000,0.008243
3,2,1.090721,4.050501,1.974855,0.002317,-0.000024,-0.000002,-0.000024,0.001944,0.000001,-0.000002,0.000001,0.008304
3,3,-1.041772,4.430028,1.595743,0.002239,-0.000014,0.000000,-0.000014,0.001729,-0.000003,0.000000,-0.000003,0.008315
4,1,2.120015,4.026931,2.067836,0.002068,-0.000001,-0.000001,-0.000001,0.002113,0.000000,-0.000001,0.000000,0.006991
4,2,1.066685,4.057587,1.971872,0.002119,0.000020,-0.000001,0.000020,0.002247,-0.000000,-0.000001,-0.000000,0.007137
4,3,-1.071125,4.480580,1.618375,0.002061,-0.000042,-0.000002,-0.000042,0.001710,0.000007,-0.000002,0.000007,0.007128
5,1,2.139393,4.020418,2.083945,0.002087,-0.000002,-0.000005,-0.000002,0.001959,-0.000000,-0.000005,-0.000000,0.006037
5,2,1.055602,4.059797,1.976597,0.001996,0.000002,0.000000,0.000002,0.002090,0.000000,0.000000,0.000000,0.006255
5,3,-1.078268,4.499318,1.635794,0.001913,0.000026,0.000000,0.000026,0.001476,0.000003,0.000000,0.000003,0.006189
6,1,2.183167,4.024549,2.099548,0.002191,-0.000025,-0.000010,-0.000025,0.001817,0.000001,-0.000010,0.000001,0.005309
6,2,1.045939,4.085291,1.987172,0.001966,0.000006,0.000001,0.000006,0.001992,0.000001,0.000001,0.000001,0.005589
6,3,-1.046842,4.506292,1.648992,0.001825,0.000056,0.000001,0.000056,0.001365,-0.000001,0.000001,-0.000001,0.005469
7,1,2.235698,4.023815,2.107243,0.002226,-0.000046,-0.000011,-0.000046,0.001639,0.000002,-0.000011,0.000002,0.004749
7,2,1.016523,4.116883,1.995042,0.002135,0.000042,0.000004,0.000042,0.001875,0.000002,0.000004,0.000002,0.005063
7,3,-1.022161,4.518039,1.664777,0.001768,0.000031,-0.000000,0.000031,0.001438,-0.000001,-0.000000,-0.000001,0.004911
8,1,2.276449,4.008013,2.097230,0.002198,-0.000037,-0.000004,-0.000037,0.001474,0.000002,-0.000004,0.000002,0.004326
8,2,0.990456,4.124848,1.988797,0.002271,0.000032,0.000004,0.000032,0.001648,0.000002,0.000004,0.000002,0.004619
8,3,-0.992209,4.528062,1.670336,0.001738,0.000015,-0.000001,0.000015,0.001514,-0.000000,-0.000001,-0.000000,0.004477
9,1,2.316644,3.988709,2.077909,0.002174,-0.000026,0.000005,-0.000026,0.001370,0.000004,0.000005,0.000004,0.004020
9,2,0.908108,4.147917,1.983540,0.002261,0.000038,-0.000000,0.000038,0.001391,-0.000002,-0.000000,-0.000002,0.004212
9,3,-0.959759,4.499029,1.660851,0.001721,0.000003,-0.000003,0.000003,0.001610,0.000007,-0.000003,0.000007,0.004159
10,1,2.335646,3.996463,2.059784,0.002156,-0.000052,0.000010,-0.000052,0.001367,-0.000026,0.000010,-0.000026,0.003810
10,2,0.859592,4.161555,1.981358,0.002196,0.000042,-0.000002,0.000042,0.001174,0.000000,-0.000002,0.000000,0.003877
10,3,-0.903452,4.460936,1.645132,0.001786,-0.000012,-0.000018,-0.000012,0.001634,0.000008,-0.000018,0.000008,0.003932
11,1,2.384044,4.014672,2.043746,0.002151,-0.000105,0.000014,-0.000105,0.001477,-0.000053,0.000014,-0.000053,0.003695
11,2,0.874671,4.171218,1.974476,0.002162,0.000045,-0.000003,0.000045,0.001043,-0.000001,-0.000003,-0.000001,0.003647
11,3,-0.919269,4.447124,1.660177,0.001707,0.000016,-0.000002,0.000016,0.001722,-0.000002,-0.000002,-0.000002,0.003701
12,1,2.436770,4.035154,2.035040,0.002092,-0.000145,0.000016,-0.000145,0.001565,-0.000054,0.000016,-0.000054,0.003636
12,2,0.894965,4.132810,1.952863,0.002139,0.000018,-0.000007,0.000018,0.001490,0.000087,-0.000007,0.000087,0.003721
12,3,-0.948217,4.481994,1.706949,0.001783,-0.000058,-0.000013,-0.000058,0.001725,0.000045,-0.000013,0.000045,0.003665
13,1,2.490005,4.061567,2.031969,0.002007,-0.000145,0.000011,-0.000145,0.001579,-0.000038,0.000011,-0.000038,0.003597
13,2,0.958662,4.125407,1.949544,0.002106,0.000007,0.000002,0.000007,0.001188,0.000027,0.000002,0.000027,0.003590
13,3,-0.979200,4.492640,1.750376,0.001774,-0.000088,-0.000014,-0.000088,0.001514,0.000020,-0.000014,0.000020,0.003576
14,1,2.534580,4.105428,2.034606,0.001903,-0.000093,0.000002,-0.000093,0.001672,-0.000018,0.000002,-0.000018,0.003633
14,2,0.997681,4.121804,1.947458,0.002077,-0.000006,0.000002,-0.000006,0.001234,0.000015,0.000002,0.000015,0.003503
14,3,-1.010818,4.474625,1.771970,0.001736,-0.000105,-0.000004,-0.000105,0.001396,-0.000012,-0.000004,-0.000012,0.003426
15,1,2.591240,4.158826,2.042234,0.001815,-0.000066,0.000002,-0.000066,0.001705,-0.000002,0.000002,-0.000002,0.003645
15,2,0.993281,4.114794,1.941044,0.002070,-0.000008,-0.000005,-0.000008,0.001273,0.000007,-0.000005,0.000007,0.003452
15,3,-0.994705,4.425756,1.775112,0.001673,-0.000138,-0.000001,-0.000138,0.001385,0.000003,-0.000001,0.000003,0.003364
16,1,2.649580,4.217205,2.046602,0.001747,-0.000066,0.000001,-0.000066,0.001689,0.000000,0.000001,0.000000,0.003607
