frame,track_id,world_pX,world_pZ,world_pY,cov_00,cov_01,cov_02,cov_10,cov_11,cov_12,cov_20,cov_21,cov_22
3,1,-1.070414,5.099855,1.656040,0.002191,-0.000000,-0.000000,-0.000000,0.001203,0.000000,-0.000000,0.000000,0.008258
3,2,2.200001,5.499485,1.667188,0.002221,0.000002,0.000000,0.000002,0.001775,0.000000,0.000000,0.000000,0.008294
3,3,2.763977,3.475679,1.635953,0.002213,-0.000009,-0.000000,-0.000009,0.001638,0.000003,-0.000000,0.000003,0.008284
3,4,-0.055803,2.771226,1.407030,0.002193,0.000000,-0.000000,0.000000,0.001252,-0.000000,-0.000000,-0.000000,0.008262
4,1,-1.056906,5.124599,1.675247,0.001973,0.000003,0.000000,0.000003,0.000931,0.000001,0.000000,0.000001,0.007001
4,2,2.143459,5.504607,1.666476,0.002116,0.000104,-0.000000,0.000104,0.002170,0.000000,-0.000000,0.000000,0.007193
4,3,2.683431,3.441700,1.608717,0.002041,-0.000075,0.000002,-0.000075,0.001306,-0.000004,0.000002,-0.000004,0.007061
4,4,-0.093767,2.752031,1.397344,0.001986,-0.000005,0.000000,-0.000005,0.000938,-0.000001,0.000000,-0.000001,0.007006
5,1,-1.086991,5.133096,1.671730,0.001853,0.000017,0.000001,0.000017,0.000852,0.000002,0.000001,0.000002,0.006041
5,2,2.098209,5.528939,1.663394,0.002018,0.000041,0.000001,0.000041,0.001971,0.000003,0.000001,0.000003,0.006431
5,3,2.676465,3.479043,1.577292,0.001918,0.000005,-0.000005,0.000005,0.001763,-0.000017,-0.000005,-0.000017,0.006196
5,4,-0.153202,2.745723,1.389775,0.001879,-0.000020,-0.000000,-0.000020,0.000914,-0.000001,-0.000000,-0.000001,0.006056
6,1,-1.125461,5.142659,1.662641,0.001790,-0.000009,0.000002,-0.000009,0.000764,0.000005,0.000002,0.000005,0.005322
6,2,2.068268,5.541226,1.655020,0.001958,0.000009,0.000003,0.000009,0.002058,0.000019,0.000003,0.000019,0.005962
6,3,2.729442,3.532527,1.580005,0.001935,0.000052,0.000015,0.000052,0.001849,0.000011,0.000015,0.000011,0.005658
6,4,-0.188999,2.753450,1.389211,0.001782,-0.000031,-0.000000,-0.000031,0.001198,0.000002,-0.000000,0.000002,0.005353
7,1,-1.165051,5.150088,1.650432,0.001745,-0.000044,0.000002,-0.000044,0.000811,0.000011,0.000002,0.000011,0.004785
7,2,2.035371,5.537157,1.665367,0.001969,0.000039,-0.000003,0.000039,0.002339,-0.000039,-0.000003,-0.000039,0.005788
7,3,2.771958,3.561147,1.590864,0.001614,-0.000032,0.000033,-0.000032,0.001711,0.000018,0.000033,0.000018,0.005183
7,4,-0.202642,2.739365,1.373027,0.001692,-0.000100,-0.000000,-0.000100,0.001365,0.000000,-0.000000,0.000000,0.004794
