frame,track_id,world_pX,world_pZ,world_pY,cov_00,cov_01,cov_02,cov_10,cov_11,cov_12,cov_20,cov_21,cov_22
3,1,1.865674,4.929427,1.622372,0.006232,0.000000,0.000000,0.000000,0.060748,0.000000,0.000000,0.000000,0.006232
3,2,-0.067325,3.075456,1.469802,0.005038,0.000000,0.000000,0.000000,0.023646,0.000000,0.000000,0.000000,0.005038
3,3,0.390326,3.704128,1.669237,0.006759,0.000000,0.000000,0.000000,0.034301,0.000000,0.000000,0.000000,0.006759
4,1,1.890370,4.916457,1.607969,0.006129,0.000000,0.000000,0.000000,0.060429,0.000000,0.000000,0.000000,0.006129
4,2,-0.071032,3.041886,1.471748,0.004651,0.000000,0.000000,0.000000,0.023133,0.000000,0.000000,0.000000,0.004651
4,3,0.407196,3.710231,1.668636,0.006320,0.000000,0.000000,0.000000,0.034415,0.000000,0.000000,0.000000,0.006320
5,1,1.922864,4.894331,1.588290,0.005825,0.000000,0.000000,0.000000,0.059886,0.000000,0.000000,0.000000,0.005825
5,2,-0.084604,2.978561,1.455168,0.004404,0.000000,0.000000,0.000000,0.022180,0.000000,0.000000,0.000000,0.004404
5,3,0.402902,3.664454,1.633652,0.005747,0.000000,0.000000,0.000000,0.033571,0.000000,0.000000,0.000000,0.005747
6,1,1.939700,4.892805,1.583752,0.005631,0.000000,0.000000,0.000000,0.059849,0.000000,0.000000,0.000000,0.005631
6,2,-0.105731,2.983139,1.462031,0.004299,0.000000,0.000000,0.000000,0.022248,0.000000,0.000000,0.000000,0.004299
6,3,0.420581,3.677424,1.635047,0.005575,0.000000,0.000000,0.000000,0.033809,0.000000,0.000000,0.000000,0.005575
7,1,1.944240,4.869916,1.587976,0.005451,0.000000,0.000000,0.000000,0.059290,0.000000,0.000000,0.000000,0.005451
7,2,-0.128290,2.980087,1.459274,0.004199,0.000000,0.000000,0.000000,0.022202,0.000000,0.000000,0.000000,0.004199
7,3,0.461768,3.656825,1.627939,0.005563,0.000000,0.000000,0.000000,0.033431,0.000000,0.000000,0.000000,0.005563
8,1,1.944534,4.829481,1.566614,0.005326,0.000000,0.000000,0.000000,0.058310,0.000000,0.000000,0.000000,0.005326
8,2,-0.152762,2.957198,1.447381,0.004045,0.000000,0.000000,0.000000,0.021863,0.000000,0.000000,0.000000,0.004045
8,3,0.496361,3.617151,1.617468,0.005627,0.000000,0.000000,0.000000,0.032709,0.000000,0.000000,0.000000,0.005627
9,1,1.952879,4.827192,1.575318,0.005238,0.000000,0.000000,0.000000,0.058254,0.000000,0.000000,0.000000,0.005238
